organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
LCCic1oY5LS,Angola,COUNTRY_AGO,2024W46,Week 46 2024-11-11 - 2024-11-17,2024W46,1,0,1
LCCic1oY5LS,Angola,COUNTRY_AGO,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,1,,8
LCCic1oY5LS,Angola,COUNTRY_AGO,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,1,,2
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,9,0,24
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W32,Week 32 2024-08-05 - 2024-08-11,2024W32,31,0,112
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W33,Week 33 2024-08-12 - 2024-08-18,2024W33,43,0,169
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,70,0,262
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W35,Week 35 2024-08-26 - 2024-09-01,2024W35,78,0,251
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,97,0,318
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,57,0,353
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W38,Week 38 2024-09-16 - 2024-09-22,2024W38,179,0,493
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,132,0,105
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,157,0,101
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,134,0,320
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W42,Week 42 2024-10-14 - 2024-10-20,2024W42,183,0,280
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,117,0,238
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W44,Week 44 2024-10-28 - 2024-11-03,2024W44,222,0,335
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,209,0,265
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W46,Week 46 2024-11-11 - 2024-11-17,2024W46,145,0,298
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,187,1,273
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,187,0,308
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,155,0,473
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W1,Week 1 2024-01-01 - 2024-01-07,2024W1,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W2,Week 2 2024-01-08 - 2024-01-14,2024W2,1,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W3,Week 3 2024-01-15 - 2024-01-21,2024W3,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W4,Week 4 2024-01-22 - 2024-01-28,2024W4,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W5,Week 5 2024-01-29 - 2024-02-04,2024W5,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W6,Week 6 2024-02-05 - 2024-02-11,2024W6,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W7,Week 7 2024-02-12 - 2024-02-18,2024W7,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W8,Week 8 2024-02-19 - 2024-02-25,2024W8,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W9,Week 9 2024-02-26 - 2024-03-03,2024W9,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W10,Week 10 2024-03-04 - 2024-03-10,2024W10,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W11,Week 11 2024-03-11 - 2024-03-17,2024W11,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W12,Week 12 2024-03-18 - 2024-03-24,2024W12,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W13,Week 13 2024-03-25 - 2024-03-31,2024W13,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W14,Week 14 2024-04-01 - 2024-04-07,2024W14,1,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W15,Week 15 2024-04-08 - 2024-04-14,2024W15,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W16,Week 16 2024-04-15 - 2024-04-21,2024W16,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W17,Week 17 2024-04-22 - 2024-04-28,2024W17,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W18,Week 18 2024-04-29 - 2024-05-05,2024W18,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W19,Week 19 2024-05-06 - 2024-05-12,2024W19,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,0,1,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,1,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W26,Week 26 2024-06-24 - 2024-06-30,2024W26,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W27,Week 27 2024-07-01 - 2024-07-07,2024W27,2,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W28,Week 28 2024-07-08 - 2024-07-14,2024W28,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W29,Week 29 2024-07-15 - 2024-07-21,2024W29,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W30,Week 30 2024-07-22 - 2024-07-28,2024W30,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W32,Week 32 2024-08-05 - 2024-08-11,2024W32,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W33,Week 33 2024-08-12 - 2024-08-18,2024W33,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W35,Week 35 2024-08-26 - 2024-09-01,2024W35,0,0,4
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,1,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W38,Week 38 2024-09-16 - 2024-09-22,2024W38,0,0,21
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,0,1,8
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,0,0,9
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W42,Week 42 2024-10-14 - 2024-10-20,2024W42,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W44,Week 44 2024-10-28 - 2024-11-03,2024W44,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,3,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,0,0,11
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W1,Week 1 2024-01-01 - 2024-01-07,2024W1,2,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W2,Week 2 2024-01-08 - 2024-01-14,2024W2,4,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W3,Week 3 2024-01-15 - 2024-01-21,2024W3,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W4,Week 4 2024-01-22 - 2024-01-28,2024W4,1,0,8
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W5,Week 5 2024-01-29 - 2024-02-04,2024W5,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W6,Week 6 2024-02-05 - 2024-02-11,2024W6,3,0,7
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W7,Week 7 2024-02-12 - 2024-02-18,2024W7,4,0,15
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W8,Week 8 2024-02-19 - 2024-02-25,2024W8,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W9,Week 9 2024-02-26 - 2024-03-03,2024W9,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W10,Week 10 2024-03-04 - 2024-03-10,2024W10,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W11,Week 11 2024-03-11 - 2024-03-17,2024W11,4,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W12,Week 12 2024-03-18 - 2024-03-24,2024W12,2,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W13,Week 13 2024-03-25 - 2024-03-31,2024W13,1,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W14,Week 14 2024-04-01 - 2024-04-07,2024W14,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W15,Week 15 2024-04-08 - 2024-04-14,2024W15,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W16,Week 16 2024-04-15 - 2024-04-21,2024W16,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W17,Week 17 2024-04-22 - 2024-04-28,2024W17,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W18,Week 18 2024-04-29 - 2024-05-05,2024W18,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W19,Week 19 2024-05-06 - 2024-05-12,2024W19,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,2,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W26,Week 26 2024-06-24 - 2024-06-30,2024W26,1,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W27,Week 27 2024-07-01 - 2024-07-07,2024W27,1,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W28,Week 28 2024-07-08 - 2024-07-14,2024W28,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W29,Week 29 2024-07-15 - 2024-07-21,2024W29,4,0,23
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W30,Week 30 2024-07-22 - 2024-07-28,2024W30,8,0,30
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,2,0,30
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W32,Week 32 2024-08-05 - 2024-08-11,2024W32,2,1,27
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W33,Week 33 2024-08-12 - 2024-08-18,2024W33,0,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,3,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W35,Week 35 2024-08-26 - 2024-09-01,2024W35,0,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,0,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,5,0,22
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W38,Week 38 2024-09-16 - 2024-09-22,2024W38,3,0,17
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,2,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,0,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,1,1,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W42,Week 42 2024-10-14 - 2024-10-20,2024W42,4,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,4,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W46,Week 46 2024-11-11 - 2024-11-17,2024W46,5,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,3,0,22
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,5,0,18
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,6,1,19
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W1,Week 1 2024-01-01 - 2024-01-07,2024W1,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W2,Week 2 2024-01-08 - 2024-01-14,2024W2,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W3,Week 3 2024-01-15 - 2024-01-21,2024W3,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W4,Week 4 2024-01-22 - 2024-01-28,2024W4,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W5,Week 5 2024-01-29 - 2024-02-04,2024W5,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W6,Week 6 2024-02-05 - 2024-02-11,2024W6,2,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W7,Week 7 2024-02-12 - 2024-02-18,2024W7,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W8,Week 8 2024-02-19 - 2024-02-25,2024W8,0,0,7
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W9,Week 9 2024-02-26 - 2024-03-03,2024W9,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W10,Week 10 2024-03-04 - 2024-03-10,2024W10,17,0,12
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W11,Week 11 2024-03-11 - 2024-03-17,2024W11,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W12,Week 12 2024-03-18 - 2024-03-24,2024W12,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W13,Week 13 2024-03-25 - 2024-03-31,2024W13,0,0,21
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W14,Week 14 2024-04-01 - 2024-04-07,2024W14,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W15,Week 15 2024-04-08 - 2024-04-14,2024W15,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W16,Week 16 2024-04-15 - 2024-04-21,2024W16,0,0,1
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W17,Week 17 2024-04-22 - 2024-04-28,2024W17,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W18,Week 18 2024-04-29 - 2024-05-05,2024W18,0,0,18
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W19,Week 19 2024-05-06 - 2024-05-12,2024W19,0,0,9
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,0,0,22
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,0,0,15
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,0,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W26,Week 26 2024-06-24 - 2024-06-30,2024W26,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W27,Week 27 2024-07-01 - 2024-07-07,2024W27,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W28,Week 28 2024-07-08 - 2024-07-14,2024W28,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W29,Week 29 2024-07-15 - 2024-07-21,2024W29,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W30,Week 30 2024-07-22 - 2024-07-28,2024W30,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,0,0,23
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W32,Week 32 2024-08-05 - 2024-08-11,2024W32,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W33,Week 33 2024-08-12 - 2024-08-18,2024W33,2,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,0,0,12
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W35,Week 35 2024-08-26 - 2024-09-01,2024W35,0,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,0,0,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,0,0,6
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W38,Week 38 2024-09-16 - 2024-09-22,2024W38,0,0,14
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,1,0,10
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,0,0,11
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,0,0,9
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W42,Week 42 2024-10-14 - 2024-10-20,2024W42,0,0,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,0,0,10
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,0,,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,0,0,11
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,0,0,8
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,2,0,0
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,26,1,0
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,15,0,138
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,9,0,85
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,10,0,28
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,5,0,53
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,7,,39
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,6,0,31
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W44,Week 44 2024-10-28 - 2024-11-03,2024W44,9,0,26
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,2,0,2
